seg_id,uttID,utt_on,utt_off,lena_id,label,adu_gender,ID,aclew_id,Row,Corpus,ChiID,chi_gender,adu_univ,AgeMonths,mat_ed,number_older_sibs,mother_dob,mat_ed_num,mat_ed_num3,n_sibs,uniq_block,utt_dur,label_m,adu_gender_m,predictability
B-01_06_pass1_1167_4,B-01.1167.40346220_40351580,40346220,40351580,MAN,CDS,MALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.1167,5360,CDS,MALE,0.9268292682926828
B-01_06_pass1_1167_8,B-01.1167.40355410_40357560,40355410,40357560,MAN,CDS,MALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.1167,2150,CDS,MALE,0.25
B-01_06_pass1_1167_12,B-01.1167.40360580_40362980,40360580,40362980,MAN,CDS,MALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.1167,2400,CDS,MALE,0.5238095238095238
B-01_06_pass1_1167_15,B-01.1167.40365140_40367040,40365140,40367040,MAN,CDS,MALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.1167,1900,CDS,MALE,0.5238095238095238
B-01_06_pass1_1167_22,B-01.1167.40372400_40374050,40372400,40374050,MAN,CDS,MALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.1167,1650,CDS,MALE,0.2666666666666666
B-01_06_pass1_1167_35,B-01.1167.40383530_40385360,40383530,40385360,MAN,ADS,MALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.1167,1830,ADS,MALE,0.2857142857142857
B-01_06_pass1_151_20,B-01.151.3727770_3730740,3727770,3730740,FAN,ADS,FEMALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.151,2970,ADS,FEMALE,0.6666666666666666
B-01_06_pass1_151_22,B-01.151.3731570_3733010,3731570,3733010,FAN,ADS,FEMALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.151,1440,ADS,FEMALE,0.0
B-01_06_pass1_151_43,B-01.151.3752310_3755540,3752310,3755540,MAN,ADS,MALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.151,3230,ADS,MALE,0.6825396825396824
B-01_06_pass1_23_1,B-01.23.604110_606810,604110,606810,MAN,ADS,FEMALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.23,2700,ADS,FEMALE,0.5151515151515151
B-01_06_pass1_23_11,B-01.23.615200_616480,615200,616480,MAN,ADS,FEMALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.23,1280,ADS,FEMALE,0.3333333333333333
B-01_06_pass1_295_15,B-01.295.8982520_8984730,8982520,8984730,FAN,CDS,FEMALE,B-01,9803.0,1,Bergelson,1,female,yes,6,AD,1,32,5,3,1,B-01.295,2210,CDS,FEMALE,0.2142857142857142
